College,City,State,Country
20TH CENTURY COLLEGE,MOBILE,AL,UNITED STATES
ABDULLAH GUL UNIVERSITY,KAYSERI,,TURKEY
ABERSTWYTH UNIVERSITY,ABERSTWYTH,,UNITED KINGDOM
ABILENE CHRISTIAN UNIVERSITY,ABILENE,TX,UNITED STATES
ABRAHAM BALDWIN AGRICULTURAL COLLEGE,TIFTON,GA,UNITED STATES
ACADEMY OF ART COLLEGE,SAN FRANCISCO,CA,UNITED STATES
THE ACADEMY OF THE NEW CHURCH COLLEGE,BRYN ATHYN,PA,UNITED STATES
ADAMS STATE COLLEGE,ALAMOSA,CO,UNITED STATES
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES
ADIRONDACK COMMUNITY COLLEGE,GLENS FALLS,NY,UNITED STATES
ADRIAN COLLEGE,ADRIAN,MI,UNITED STATES
AERO-SPACE INSTITUTE,CHICAGO,IL,UNITED STATES
AFRICAN LEADERSHIP UNIVERSITY,PIERREFONDS,,MAURITIUS
AFROTC/RRUF,MAXWELL AFB,AL,UNITED STATES
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES
AIKEN TECHNICAL COLLEGE,AIKEN,SC,UNITED STATES
AIMS COMMUNITY COLLEGE,GREELEY,CO,UNITED STATES
AIR FORCE INSTITUTE OF TECHNOLOGY,WRIGHT PATTERSON AFB,OH,UNITED STATES
AKRON CITY HOSPITAL FIRESTONE SCHOOL/NURSING,AKRON,OH,UNITED STATES
ALABAMA A&M UNIVERSITY,NORMAL,AL,UNITED STATES
ALABAMA BIBLE INSTITUTE,GUIN,AL,UNITED STATES
ALABAMA CHRISTIAN COLLEGE,HUNTSVILLE,AL,UNITED STATES
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES
ALASKA BIBLE COLLEGE,GLENNALLEN,AK,UNITED STATES
ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,UNITED STATES
ALBANY BUSINESS COLLEGE,ALBANY,NY,UNITED STATES
ALBANY STATE COLLEGE,ALBANY,GA,UNITED STATES
ALBERT P. BREWER STATE JUNIOR COLLEGE,FAYETTE,AL,UNITED STATES
ALBERTUS MAGNUS COLLEGE,NEW HAVEN,CT,UNITED STATES
ALBION COLLEGE,ALBION,MI,UNITED STATES
ALBRIGHT COLLEGE,READING,PA,UNITED STATES
ALBUQUERQUE JOB CORPS CENTER,ALBUQUERQUE,NM,UNITED STATES
ALBUQUERQUE TECH VOC INSTITUTE,ALBUQUERQUE,NM,UNITED STATES
ALCORN STATE UNIVERSITY,LORMAN,MS,UNITED STATES
ALDERSON-BROADDUS COLLEGE,PHILIPPI,WV,UNITED STATES
ALEXANDRIA TECHNICAL COLLEGE,ALEXANDRIA,MN,UNITED STATES
ALFRED UNIVERSITY,ALFRED,NY,UNITED STATES
ALICE LLOYD COLLEGE,PIPPA PASSES,KY,UNITED STATES
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,UNITED STATES
ALLEGANY COMMUNITY COLLEGE,CUMBERLAND,MD,UNITED STATES
ALLEGHENY COLLEGE,MEADVILLE,PA,UNITED STATES
ALLEGHENY WESLEYAN COLLEGE,SALEM,OH,UNITED STATES
ALLEN COUNTY COMMUNITY COLLEGE,IOLA,KS,UNITED STATES
ALLEN MEMORIAL HOSPITAL LUTHERAN SCHOOL/NURSING,WATERLOO,IA,UNITED STATES
ALLEN UNIVERSITY,COLUMBIA,SC,UNITED STATES
ALLENTOWN COLLEGE OF ST FRANCIS DE SALES,CENTER VALLEY,PA,UNITED STATES
ALLIANCE COLLEGE,CAMBRIDGE SPRINGS,PA,UNITED STATES
ALMA COLLEGE,ALMA,MI,UNITED STATES
ALPENA COMMUNITY COLLEGE,ALPENA,MI,UNITED STATES
ALVERNIA COLLEGE,READING,PA,UNITED STATES
ALVERNO COLLEGE,MILWAUKEE,WI,UNITED STATES
ALVIN COMMUNITY COLLEGE,ALVIN,TX,UNITED STATES
AMARILLO COLLEGE,AMARILLO,TX,UNITED STATES
AMBASSADOR COLLEGE,PASADENA,CA,UNITED STATES
AMBASSADOR UNIVERSITY,BIG SANDY,TX,UNITED STATES
AMBER UNIVERSITY,GARLAND,TX,UNITED STATES
AMBROSE UNIVERSITY,CALGARY,AB,CANADA
AMERICAN ACADEMY MCALLISTER INSTITUTE,NEW YORK,NY,UNITED STATES
AMERICAN ACADEMY OF DRAMATIC ARTS,PASADENA,CA,UNITED STATES
AMERICAN ACADEMY OF DRAMATIC ARTS,NEW YORK,NY,UNITED STATES
AMERICAN BAPTIST COLLEGE OF ABT SEMINARY,NASHVILLE,TN,UNITED STATES
AMERICAN COLLEGE FOR APPLIED ARTS,ALTANTA,GA,UNITED STATES
AMERICAN COLLEGE FOR THE APP ARTS,LOS ANGELES,CA,UNITED STATES
AMERICAN COLLEGE MEDITERRANEAN,AIX-EN-PROVENCE,,FRANCE
