CEEB,College Name,City,State
INTL,AMBROSE UNIVERSITY,CALGARY,"AB, CANADA"
INTL,CONCORDIA UNIVERSITY EDMONTON,EDMONTON,"AB, CANADA"
INTL,KINGS UNIVERSITY,EDMONTON,"AB, CANADA"
INTL,PRAIRIE BIBLE COLLEGE,THREE HILLS,"AB, CANADA"
INTL,UNIVERSITY OF ALBERTA,EDMONTON,"AB, CANADA"
INTL,UNIVERSITY OF CALGARY,CALGARY,"AB, CANADA"
INTL,UNIVERSITY OF LETHBRIDGE,LETHBRIDGE,"AB, CANADA"
INTL,KWANTLEN POLYTECHNIC,SURREY,"BC, CANADA"
INTL,LASALLE COLLEGE VANCOUVER,VANCOUVER,"BC, CANADA"
INTL,PACIFIC LIFE BIBLE COLLEGE,SURREY,"BC, CANADA"
INTL,QUEST UNIVERSITY CANADA,SQUAMISH,"BC, CANADA"
INTL,SIMON FRASER UNIV,BURNABY,"BC, CANADA"
INTL,TRINITY WESTERN UNIVERSITY,LANGLEY,"BC, CANADA"
INTL,UNIVERSITY OF BRITISH COLUMBIA,VANCOUVER,"BC, CANADA"
INTL,UNIVERSITY OF VICTORIA,VICTORIA,"BC, CANADA"
INTL,PROVIDENCE UNIV CLG THEO SEM,OTTERBURNE,"MB, CANADA"
INTL,UNIVERSITY OF MANITOBA,WINNIPEG,"MB, CANADA"
INTL,MOUNT ALLISON UNIVERSITY,SACKVILLE,"NB, CANADA"
INTL,SAINT THOMAS UNIVERSITY-CANADA,FREDERICTON,"NB, CANADA"
INTL,U OF NEW BRUNSWICK,SAINT JOHN,"NB, CANADA"
INTL,DALHOUSIE UNIVERSITY,HALIFAX,"NS, CANADA"
INTL,UNIV OF KING’S COLLEGE-HALIFAX,HALIFAX,"NS, CANADA"
INTL,BROCK UNIVERSITY,ST CATHARINES,"ON, CANADA"
INTL,CARLETON UNIVERSITY,OTTAWA,"ON, CANADA"
INTL,LAKEHEAD UNIVERSITY,THUNDER BAY,"ON, CANADA"
INTL,MCMASTER UNIVERSITY,HAMILTON,"ON, CANADA"
INTL,NIPISSING UNIVERSITY,NORTH BAY,"ON, CANADA"
INTL,QUEENS UNIVERSITY,KINGSTON,"ON, CANADA"
INTL,REDEEMER UNIVERSITY COLLEGE,ANCASTER,"ON, CANADA"
INTL,RYERSON UNIVERSITY,TORONTO,"ON, CANADA"
INTL,TRENT UNIVERSITY,PETERBOROUGH,"ON, CANADA"
INTL,TYNDALE UNIVERSITY,NORTH YORK,"ON, CANADA"
INTL,UNIV OF ONTARIO INST OF TECH,OSHAWA,"ON, CANADA"
INTL,UNIVERSITY OF GUELPH,GUELPH,"ON, CANADA"
INTL,UNIVERSITY OF TORONTO,TORONTO,"ON, CANADA"
INTL,UNIVERSITY OF WATERLOO,WATERLOO,"ON, CANADA"
INTL,UNIVERSITY OF WINDSOR,WINDSOR,"ON, CANADA"
INTL,WESTERN UNIVERSITY-CANADA,LONDON,"ON, CANADA"
INTL,WILFRID LAURIER UNIVERSITY,WATERLOO,"ON, CANADA"
INTL,YORK UNIVERSITY,NORTH YORK,"ON, CANADA"
INTL,HOMBURG INSTITUTE,CHARLOTTETOWN,"PE, CANADA"
INTL,BISHOPS UNIVERSITY,SHERBROOKE,"QC, CANADA"
INTL,HEC MONTREAL,MONTRÉAL,"QC, CANADA"
INTL,MCGILL UNIVERSITY,MONTREAL,"QC, CANADA"
INTL,BRIERCREST COLLEGE,CARONPORT,"SK, CANADA"
INTL,UNIVERSITY OF REGINA,REGINA,"SK, CANADA"
INTL,UNIVERSITY OF SASKATCHEWAN,SASKATOON,"SK, CANADA"
INTL,ANERICAN UNIVERSITY OF SHARJAH,SHARJAH,UNITED ARAB EMIRATES
INTL,AMERICAN UNIVERSITY ARMENIA,YEREVAN,ARMENIA
INTL,WEBSTER UNIV-VIENNA,VIENNA,AUSTRIA
INTL,UNIVERSITY OF CANBERRA,BRUCE ACT,AUSTRALIA
INTL,CHARLES STURT UNIVERSITY,WAGGA WAGGA NSW,AUSTRALIA
INTL,MACQUARIE UNIVERSITY,NORTH RYDE NSW,AUSTRALIA
INTL,U OF NEW SOUTH WALES-SYDNEY,SYDNEY NSW,AUSTRALIA
INTL,UNIV OF WOLLONGONG,WOLLONGONG NSW,AUSTRALIA
INTL,UNIVERSITY OF NEW ENGLAND,ARMIDALE NSW,AUSTRALIA
INTL,UNIVERSITY OF NEWCASTLE,CALLAGHAN NSW,AUSTRALIA
INTL,UNIVERSITY OF WESTERN SYDNEY,PENRITH S DC NSW,AUSTRALIA
INTL,BOND UNIVERSITY,ROBINA QLD,AUSTRALIA
INTL,JAMES COOK UNIVERSITY,TOWNSVILLE QLD,AUSTRALIA
INTL,QUEENSLAND UNIV OF TECHNOLOGY,KELVIN GROVE,AUSTRALIA
INTL,UNIVERSITY OF QUEENSLAND,ST LUCIA,AUSTRALIA
INTL,FLINDERS UNIVERSITY,ADELAIDE,AUSTRALIA
INTL,UNIVERSITY OF SOUTH AUSTRALIA,ADELAIDE,AUSTRALIA
INTL,MONASH UNIVERSITY,MONASH UNIVERSITY,AUSTRALIA
INTL,RMIT UNIVERSITY,MELBOURNE,AUSTRALIA
INTL,SWINBURNE UNIV OF TECHNOLOGY,HAWTHORN,AUSTRALIA
INTL,CURTIN UNIVERSITY,PERTH,AUSTRALIA
INTL,EDITH COWAN UNIVERSITY,JOONDALUP,AUSTRALIA
INTL,AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,AUSTRALIA
INTL,GRIFFITH UNIVERSITY,NATHAN,AUSTRALIA
INTL,UNIVERSITY OF SYDNEY,UNIV OF SYDNEY,AUSTRALIA
INTL,UNIVERSITY WESTERN AUSTRALIA,PERTH,AUSTRALIA
INTL,HOGESCHOOL-UNIV BRUSSELS,BRUSSELS,BELGIUM
INTL,KATHOLIEKE UNIVERSITEIT LEUVEN,LEUVEN,BELGIUM
INTL,VESALIUS COLLEGE,BRUSSELS,BELGIUM
INTL,AMERICAN UNIV IN BULGARIA,BLAGOEVGRAD,BULGARIA
INTL,CNTRL AM HEALTH SCI UNIV,BELIZE CITY,BELIZE
